index,answer
134,"반품 시 지불하셔야 하는 반품비용은 회수비 2,500원입니다.※ 추가비용이 발생하는 경우&nbsp;- 도서산간:&nbsp;+2,500원 (5,000원)&nbsp;- 제주도:&nbsp;&nbsp;+2,500원 (5,000원)&nbsp;- 제주도의 도서산간 지역:&nbsp;&nbsp;+7,000원 (9,500원)&nbsp;- 무료배송이었으나 부분적인 반품으로 인해 무료배송 조건(결제금액 2만원 이상)이 깨진 경우&nbsp;&nbsp; : &nbsp;면제받으셨던 초기 배송비&nbsp;2,500원 추가 발생&nbsp;- 무료배송이었으나 단순변심 등의 불량 외 사유로 반품시 면제받으셨던 초기 배송비 2,500원 추가 발생※ 반품비는 환불금액에서 차감처리 됩니다.※ <span style="line-height:normal"><span style="-ms-word-break:keep-all"><span style="color:black">업체배송</span> <span style="color:black">상품의</span> <span style="color:black">경우</span> <span style="color:black">업체의</span> <span style="color:black">규정에</span> <span style="color:black">따라</span> <span style="color:black">비용이</span> <span style="color:black">상이할</span> <span style="color:black">수</span> <span style="color:black">있습니다</span><span style="color:black"><span style="font-family:&quot;Calibri&quot;,sans-serif">.</span></span></span></span>※ 상품의 불량, 배송 오류 등 당사의 실수로 인한 반품의 경우, 반품에 필요한 비용은 당사가 부담합니다."
135,"올리브영 온라인몰의 상품은 일부 업체배송 상품을 제외하고, CJ대한통운 택배를 이용해 안전하게 배송되고 있습니다.업체배송 상품의 경우, 해당 업체에 따라 택배사가 상이할 수 있습니다."
136,"1+1, 혹은 2+1 등의 프로모션의 경우,주문하실 수량만 입력하시면 +1은 자동으로 계산되어 함께 배송됩니다.(ex. 1+1 상품 1개 주문 &rarr; +1 상품 자동 계산되어 2개로 배송)"
137,"무통장 입금으로 주문 시 24시간 이내에 입금해주셔야 주문이 가능하며,24시간 이후에는 자동으로 주문이 취소됩니다."
138,"배송비는 실결제금액 기준 2만원 이상 결제 시 무료이며, 2만원 이하 결제의 경우 기본적으로 배송비는 2,500원입니다.※ 추가 배송비가&nbsp;발생하는 경우&nbsp;- 도서산간:&nbsp;+2,500원 (5,000원)&nbsp;- 제주도:&nbsp;&nbsp;+2,500원 (5,000원)&nbsp;- 제주도의 도서산간 지역:&nbsp;&nbsp;+7,000원 (9,500원)&nbsp;<div class="WordSection1"><span style="line-height:normal"><span style="-ms-word-break:keep-all"><span style="color:black">※</span> <span style="color:black">업체배송</span> <span style="color:black">상품의</span> <span style="color:black">경우</span> <span style="color:black">업체의</span> <span style="color:black">규정에</span> <span style="color:black">따라</span> <span style="color:black">비용이</span> <span style="color:black">상이할</span> <span style="color:black">수</span> <span style="color:black">있습니다</span><span style="color:black"><span style="font-family:&quot;Calibri&quot;,sans-serif">.</span></span></span></span>&nbsp;</div>"
139,"뷰티테스터 당첨 확인 및 후기 작성은 마이페이지 內 마이활동 &rarr; 뷰티테스터 참여현황 에서 가능합니다.<a href="https://www.oliveyoung.co.kr/store/mypage/getMyBeautyList.do">뷰티테스터 참여현황으로 바로 이동 클릭</a>&nbsp;"
140,"뷰티테스터 당첨 확인 및 후기 작성은 마이페이지 內 마이활동 &rarr; 뷰티테스터 참여현황 에서 가능합니다.<a href="https://www.oliveyoung.co.kr/store/mypage/getMyBeautyList.do"><span style="color:#0066cc">뷰티테스터 참여현황으로 바로 이동 클릭</span></a>"
141,"크롬 브라우저 58버전에서는 ISP결제 (BC카드, 국민카드, BC계열의 은행카드) 결제가 크롬 정책 변경으로 불가능합니다. 인터넷익스플로러에서 결제 부탁드립니다.(※크롬 브라우저 버전 확인 방법 : 오른쪽 상단 메뉴 &gt; 설정 &gt; 정보)"
142,"상품 상세 화면에서 &#39;재입고 알림신청&#39; 버튼을 클릭하여메일 또는 APP PUSH를 설정하시면,상품 재입고시에 설정하신 매체로 알림을 받으실 수 있습니다.APP PUSH 알림은 모바일앱에서만 설정 가능합니다."
143,"증정품의 경우, 한정수량으로 진행됨에 따라 조기 소진 시 배송되지 않을 수 있습니다.상품 주문 시 &#39;결제하기&#39; 버튼을 클릭하시면 수령하실 수 있는 증정품에 대한 안내가 팝업으로&nbsp;노출되며,해당 안내가 노출되는 경우 증정품 수령이 가능하지만, 노출되지 않는다면 증정품이 소진되어배송이 어려운 경우입니다.주문 이후, 주문/배송 조회 화면에서 &#39;주문상세보기&#39; 버튼을 눌러 주문상세를 조회하시면해당 화면에서도 수령하실 수 있는 증정품에 대한 내역을 확인 하실 수 있습니다.결제 시 팝업 노출도 되었고, 주문상세조회에서도 증정품 내역을 확인하실 수 있으나 증정품을수령하지 못하신 경우라면 올리브영 온라인몰 고객센터(1522-0882)로 연락 주시면신속하게 처리 도와 드리겠습니다.&nbsp;"
144,"증정품의 경우, 한정수량으로 진행됨에 따라 조기 소진 시 배송되지 않을 수 있습니다.상품 주문 시 &#39;결제하기&#39; 버튼을 클릭하시면 수령하실 수 있는 증정품에 대한 안내가 팝업으로&nbsp;노출되며,해당 안내가 노출되는 경우 증정품 수령이 가능하지만, 노출되지 않는다면 증정품이 소진되어배송이 어려운 경우입니다.주문 이후, 주문/배송 조회 화면에서 &#39;주문상세보기&#39; 버튼을 눌러 주문상세를 조회하시면해당 화면에서도 수령하실 수 있는 증정품에 대한 내역을 확인 하실 수 있습니다.결제 시 팝업 노출도 되었고, 주문상세조회에서도 증정품 내역을 확인하실 수 있으나 증정품을수령하지 못하신 경우라면 올리브영 온라인몰 고객센터(1522-0882)로 연락 주시면신속하게 처리 도와 드리겠습니다.&nbsp;"
145,"군부대의 경우, 지역에 따라 배송이 불가한 경우가 있습니다.해당 군부대에 CJ대한통운 택배가 들어갈 수 있는지 확인 후, 주문 부탁 드립니다."
146,"CJ기프트카드로 결제 후, 기프트카드를 삭제하셨거나 기프트카드 &#39;잠금&#39;처리 시 취소가 불가합니다. 잠금 상태이면 잠금을 해제 후 취소해주시고 삭제하셨다면 고객센터로 문의해주세요."
